Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2
        1.375, -7.20142415958e-05, 3139.04174805, 7493.51953125, 7508.03466797, 0.206874862313, 0.570569097996, 18.9852180481, 0.000903334235772, -0.00135507562663, 49.6880264282, -9.47185981204e-05,         1.375, 0.00665157428011, 1.45080828667, -1.71531283855, 0.361568838358, -1.55886018276, 3147.35205078, -1.33030474186, 1.17017066479, -1.07945930958
          1.4, -0.000180540548172,  3140.5559082, 7490.53027344, 7505.60351562, 0.205639392138, 0.605699300766, 19.3303222656, 0.000790748104919, -0.00147031014785,  49.698299408, -9.19967133086e-05, 1.39999997616, 0.00689677568153, 1.35570168495, -1.74751353264, 0.390053659678, -1.5850007534, 3149.11669922, -1.23601508141,  1.1062182188, -1.00373637676
        1.425, -0.000270581978839, 3141.97167969, 7487.82519531, 7503.40283203, 0.204533874989, 0.638179242611, 19.6754989624, 0.00059008813696, -0.00158821837977, 49.7085571289, -8.79906365299e-05, 1.42499995232, 0.00711339479312, 1.23954868317, -1.77666223049, 0.416770756245, -1.60867190361,  3150.7487793, -1.0875415802, 1.02914190292, -0.883021712303
         1.45, -0.000337340083206, 3143.27319336, 7485.51806641, 7501.52734375, 0.203586161137, 0.667543411255, 20.0207424164, 0.000319956801832, -0.00170797656756, 49.7186851501, -8.35144674056e-05, 1.45000004768, 0.00729374168441, 1.10739541054, -1.80152761936, 0.441424101591, -1.62884795666, 3152.22583008, -0.895438849926, 0.941643774509, -0.725821733475
        1.475, -0.000377650314476, 3144.44897461,  7483.6953125, 7500.04931641, 0.202814042568, 0.693468034267, 20.3660545349, 2.36027585743e-06, -0.00182864617091, 49.7285881042, -7.87109893281e-05, 1.47500002384, 0.00743271224201, 0.965521216393, -1.82118415833, 0.463796705008, -1.64475142956, 3153.53222656, -0.673314869404, 0.847380101681, -0.543302059174
          1.5, -0.000389660068322, 3145.49291992, 7482.40771484, 7499.01269531, 0.202224373817, 0.715795576572, 20.7114334106, -0.000338380195899, -0.0019492234569, 49.7382087708, -7.47705344111e-05,           1.5, 0.00752791576087, 0.820754647255, -1.83506941795, 0.483772724867, -1.65590524673, 3154.66088867, -0.436171680689, 0.750643134117, -0.347823321819
        1.525, -0.000373526709154, 3146.40478516, 7481.67333984, 7498.43359375, 0.201814219356, 0.734533667564, 21.0568733215, -0.000677170348354, -0.00206877477467, 49.7474899292, -7.14057678124e-05, 1.52499997616, 0.00757938530296, 0.679302155972, -1.84299135208, 0.501341819763, -1.66214001179, 3155.61230469, -0.198776915669, 0.65541779995, -0.151965022087
         1.55, -0.000332627882017, 3147.18945312, 7481.47705078, 7498.29980469, 0.201572775841, 0.749828100204, 21.4023761749, -0.000990460859612, -0.00218639615923, 49.7564163208, -6.89009029884e-05, 1.54999995232, 0.00758943334222, 0.545911848545, -1.84511041641, 0.516579926014, -1.66358673573, 3156.39379883, 0.0262480825186, 0.564521253109, 0.0337797738612
        1.575, -0.000272283505183, 3147.85424805, 7481.79345703, 7498.59033203, 0.201483428478, 0.761921286583, 21.7479381561, -0.00125857954845, -0.00230126990937, 49.7649803162, -6.7801316618e-05, 1.57500004768, 0.00756215676665, 0.423557937145, -1.84187591076, 0.529616892338, -1.66061377525, 3157.01757812, 0.227659732103, 0.479502260685, 0.200034350157
          1.6, -0.00019973597955, 3148.40844727, 7482.56591797, 7499.25585938, 0.201525554061, 0.771109879017, 22.0935554504, -0.00146752723958, -0.00241278321482, 49.7731819153, -6.8091758294e-05, 1.60000002384, 0.00750272814184, 0.313688308001, -1.83398985863, 0.540609419346, -1.65380418301, 3157.49804688, 0.397586971521, 0.401022195816, 0.339987576008
        1.625, -0.000122022152937, 3148.86157227, 7483.71142578, 7500.22753906, 0.201676189899, 0.777713656425, 22.4392280579, -0.00160964170936, -0.0025205553975,  49.781036377, -6.95881972206e-05,         1.625, 0.007416929584, 0.216801568866, -1.82228815556, 0.549723744392, -1.64386093616,  3157.8503418, 0.532434284687, 0.32925003767, 0.450289309025
         1.65, -4.60262308479e-05, 3149.22338867, 7485.14208984, 7501.43017578, 0.201911494136, 0.782058238983,  22.784954071, -0.00168346776627, -0.00262432801537, 49.7885704041, -7.03301848262e-05, 1.64999997616, 0.0073109511286, 0.132933989167, -1.80767095089, 0.557126224041, -1.63154816628, 3158.09082031, 0.630624115467, 0.264025658369, 0.529518187046
        1.675, 2.29341549129e-05, 3149.50292969, 7486.76757812,  7502.7890625, 0.202208310366, 0.784464538097, 23.1307296753, -0.00169299682602, -0.00272388057783, 49.7957954407, -7.29597159079e-05, 1.67499995232, 0.00719107454643, 0.0616051740944, -1.79105949402, 0.562977552414, -1.61763513088, 3158.23461914, 0.692421257496, 0.205131053925, 0.578520476818
          1.7, 8.13490696601e-05, 3149.70922852, 7488.50146484, 7504.23193359, 0.202545598149, 0.785233914852, 23.4765548706, -0.00164608983323, -0.00281926919706, 49.8027458191, -7.53624117351e-05, 1.70000004768, 0.00706272386014, 0.00178047607187, -1.77332603931, 0.567433416843, -1.60285723209, 3158.29638672, 0.721159100533, 0.152315706015, 0.59942907095
        1.725, 0.000127238847199, 3149.85083008, 7490.26953125,  7505.6953125, 0.202905371785, 0.784638345242, 23.8224258423, -0.00155305140652, -0.00291061657481, 49.8094367981, -7.78922621976e-05, 1.72500002384, 0.00693070143461, -0.0478191673756, -1.75523495674, 0.570639669895, -1.5878585577, 3158.28833008, 0.721885561943, 0.105065375566, 0.596836149693
         1.75, 0.000159534305567, 3149.93457031, 7492.01025391, 7507.12792969, 0.203273162246, 0.78291618824, 24.1683425903, -0.0014254724374, -0.00299815204926, 49.8158950806, -8.06381285656e-05,          1.75, 0.00679894071072, -0.0886075720191, -1.73741960526, 0.57272785902, -1.57317197323, 3158.21948242, 0.700158238411, 0.0627665668726, 0.575483441353
        1.775, 0.000178492409759,  3149.9675293, 7493.67529297, 7508.49072266, 0.203638106585, 0.78026753664, 24.5143032074, -0.00127532426268, -0.00308220973238, 49.8221321106, -8.23685186333e-05, 1.77499997616, 0.00667045684531, -0.122198842466, -1.72036421299, 0.573814272881, -1.55919849873, 3158.09985352, 0.662021517754, 0.0248224008828, 0.540475547314
          1.8, 0.000185151860933, 3149.95458984, 7495.23291016, 7509.75585938, 0.20399273932, 0.776854336262, 24.8603076935, -0.00111400079913, -0.00316310836934,  49.828163147, -8.48301060614e-05, 1.79999995232, 0.00654755765572, -0.149987503886, -1.7044069767, 0.574000477791, -1.54621684551, 3157.93774414, 0.613216400146, -0.0093154720962, 0.49703848362
        1.825, 0.000181523195351, 3149.89892578, 7496.66308594, 7510.90917969, 0.204332590103, 0.772806584835, 25.2063541412, -0.000951510330196, -0.00324126356281, 49.8340034485, -8.56073384057e-05, 1.82500004768, 0.0064316354692, -0.173137694597, -1.68974769115, 0.573376834393, -1.53438282013, 3157.74023438, 0.558930337429, -0.0400333106518, 0.44927406311
