Time,Fs_L1,Fs_R1,Fs_L2,Fs_R2,Roll,Pitch,Yaw,Xo,Yo,Vz_SM,Az_SM,Ay_SM,Vx,Jnc_L1,Jnc_L2,Jnc_R1,Jnc_R2,JncR_L1,JncR_L2,JncR_R1,JncR_R2,Zgnd_L1,Zgnd_L2,Zgnd_R1,Zgnd_R2
        1.325, -0.0896074771881, 3313.79492188, 7546.78466797, 7649.36572266, 0.130994781852, 6.81965684891,  18.296163559, 0.0181416291744, -0.0244063194841, 49.6682815552, -0.248941063881, 1.32500004768, 0.0531404651701, 143.412994385, -1.20213508606, 3.96476626396, -0.0586676299572, 3419.48730469, 7.78311157227, -260.067810059, -4.42499637604, -0.00195611827075, -5.55111512313e-17,             0,             0
         1.35, -0.068738438189, 3321.54516602, 7549.14257812, 7644.38037109, 0.13054189086, 6.67179203033,  18.641122818, 0.000257441686699, -0.024762602523, 49.6781539917, -0.18258613348, 1.35000002384, 0.0520616844296, -370.151855469, -1.17835485935, 4.14341306686, -0.111646063626, 3413.15087891, 31.2484855652, 374.574249268, -28.4789085388, -0.00209150905721,             0,             0,             0
        1.375, -0.0745178386569, 3346.63964844, 7551.79394531, 7639.01123047, 0.12999753654,   6.052298069, 18.9861507416, 0.0011500819819, -0.0248908754438, 49.6880836487, 0.250134140253,         1.375, 0.0505542904139, -572.566162109, -1.15144884586, 4.77091360092, -0.168812200427, 3388.60253906, 15.8971014023, 570.567199707, -15.8056106567, -0.00223283609375,             0,             0,             0
          1.4, 0.0411365292966, 3373.03076172, 7551.90673828, 7636.15966797, 0.129507750273, 5.40630292892, 19.3312492371, -0.00592202693224, -0.0249572452158, 49.6983680725, 0.194847658277, 1.39999997616, 0.0485149808228, 124.639343262, -1.15110242367, 5.43969154358, -0.199634745717,  3363.2878418, -23.6756820679, -73.6535186768,  18.581697464, -0.00238271616399, 5.55111512313e-17,             0,             0
        1.425, -0.0834240317345, 3352.62890625, 7547.56738281,   7637.640625, 0.129184097052, 5.90669727325, 19.6764163971, 0.00300304428674, -0.0256437864155, 49.7087020874, 0.174443393946, 1.42499995232, 0.0492575503886, 327.143615723, -1.19739997387, 4.93693304062, -0.185083448887, 3383.16918945, -31.2549228668, -338.948547363, 26.3619651794, -0.00250464864075,             0,             0,             0
         1.45, 0.192416682839, 3332.22631836, 7543.59521484, 7639.58789062, 0.128961578012, 6.32861328125, 20.0216522217, -0.00120414677076, -0.0263162814081, 49.7187728882, -0.20052947104, 1.45000004768, 0.0504939630628, 538.526184082, -1.23981010914, 4.44241714478, -0.165661200881, 3399.65527344, -20.9404163361, -528.427429199, 18.6969299316, -0.00262266583741,             0, 5.55111512313e-17,             0
        1.475, -0.0969751700759, 3313.08447266, 7541.55957031, 7640.16064453, 0.128177732229, 7.13412570953, 20.3669643402, 0.017257694155, -0.027072802186, 49.7284622192, -0.237183600664, 1.47500002384, 0.0519999936223, 24.4346351624, -1.26181161404, 3.91933870316, -0.160589620471, 3433.50927734, 17.6968040466, -142.644638062, -12.3769693375, -0.00274039222859,             0, 5.55111512313e-17,             0
          1.5, -0.0620613545179, 3304.05957031, 7543.09765625, 7638.87304688, 0.128933355212,  6.9546995163, 20.7123279572, 0.00746155530214, -0.0274724848568, 49.7384910583, -0.187268331647,           1.5, 0.0520332679152, -270.749572754, -1.24626338482, 3.74155664444, -0.174899950624, 3423.79345703, 28.5438632965, 213.042648315, -24.0184135437, -0.00287645729259,             0,             0, 5.55111512313e-17
        1.525, -0.0403775461018, 3327.01953125, 7545.02929688, 7636.38916016, 0.128129765391, 6.62829637527, 21.0577735901, -0.00487458286807, -0.0276527646929, 49.7474708557, -0.175374239683, 1.52499997616, 0.0510711856186, -383.602661133, -1.2265162468, 4.27933645248, -0.201639279723, 3411.65771484, 32.1253929138,  402.66192627, -28.3517627716, -0.00302615761757,             0,             0, -5.55111512313e-17
         1.55, 0.185582116246, 3331.43920898, 7546.28076172, 7635.88330078, 0.127698346972, 6.56421470642, 21.4032783508, -0.00292543624528, -0.0280111692846, 49.7563171387, -0.132892161608, 1.54999995232, 0.0504595823586, -413.369384766, -1.21378755569, 4.38248872757, -0.207474291325,   3409.609375, 27.6197776794, 423.369354248, -25.9184379578, -0.00317532313056,             0,             0,             0
